customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,county,is_rural,location_type,mpesa_usage_score,mpesa_engagement,mpesa_monthly_transactions,bonga_points,days_since_bonga_redemption,bonga_active,has_safaricom_home,competitor_exposure,high_competitor_risk,network_quality_score,network_satisfaction,uses_data_rollover,data_bundle_tier,avg_monthly_data_gb,digital_loyalty_score,rural_network_risk,price_sensitive_risk,customer_engagement_score
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Nairobi,0,urban,29.7,low,3,2930.4,270,0,0,5,1,5,neutral,1,unlimited,2.473043973278081,25.6344,0,1,23.91
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,Nairobi,0,urban,100.0,high,12,1278.0,109,0,1,3,0,10,satisfied,0,unlimited,2.682127592749385,63.408,0,0,55.0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,Nairobi,0,urban,52.5,medium,6,3447.5,199,0,1,3,0,5,dissatisfied,1,unlimited,45.17737171969599,40.693333333333335,0,0,55.75
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,Mombasa,0,urban,48.0,medium,4,2348.3,279,0,0,5,1,6,neutral,0,basic,15.916756565280899,35.062133333333335,0,0,14.399999999999999
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,Nakuru,0,urban,45.9,medium,2,3606.4,224,0,0,3,0,4,dissatisfied,1,unlimited,8.991942442377722,37.157066666666665,0,0,28.77
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,Kisumu,0,urban,98.0,high,12,987.4,79,1,0,4,1,9,satisfied,0,standard,39.066513490359114,61.43306666666666,0,0,49.4
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,Mombasa,0,urban,74.2,high,7,1132.1,250,0,1,4,1,7,satisfied,1,premium,100.0,47.53893333333333,0,1,62.260000000000005
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,Uasin Gishu,0,urban,20.0,low,1,0.0,238,0,0,4,1,6,neutral,1,standard,6.614601159016769,12.0,0,0,21.0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,Nairobi,0,urban,47.6,medium,6,378.6,221,0,0,4,1,6,neutral,1,basic,29.21901752785505,29.569599999999998,0,0,29.28
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,Mombasa,0,urban,1.5,low,0,224.3,295,0,1,3,0,6,neutral,0,basic,30.48345312006629,1.4981333333333333,0,0,25.45
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,Mombasa,0,urban,42.0,medium,3,3195.8,72,1,0,5,1,5,dissatisfied,1,standard,2.3828211151056933,33.72213333333333,0,0,47.6
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,Kisumu,0,urban,24.5,low,5,2644.2,204,0,1,5,1,6,neutral,1,standard,12.431220834496752,21.7512,0,0,47.35
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,Malindi,1,rural,100.0,high,5,1552.6,221,0,0,4,1,4,dissatisfied,1,standard,15.762207378486437,64.14026666666666,1,0,45.0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Nairobi,0,urban,97.60000000000001,high,9,2656.7,159,0,1,5,1,4,dissatisfied,0,premium,27.488548135398506,65.64453333333333,0,1,54.28
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,Nakuru,0,urban,100.0,high,9,0.0,338,0,0,5,1,5,neutral,1,standard,12.89466872655794,60.0,0,0,45.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,Nakuru,0,urban,51.0,medium,4,3992.5,114,0,0,4,1,6,neutral,1,premium,6.824330221358307,41.24666666666667,0,1,30.299999999999997
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,Nairobi,0,urban,86.5,high,9,947.4,24,1,0,5,1,8,satisfied,0,premium,5.012676247252136,54.4264,0,0,45.95
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,Uasin Gishu,0,urban,100.0,high,9,3888.7,176,0,1,5,1,9,satisfied,1,premium,6.151744441535385,70.36986666666667,0,1,70.0
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,Nairobi,0,urban,47.0,medium,2,600.0,278,0,1,4,1,9,satisfied,1,premium,7.954556351116953,29.8,0,1,54.1
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,Nairobi,0,urban,56.5,medium,3,1902.3,292,0,0,4,1,9,satisfied,1,premium,13.179990847618054,38.9728,0,0,31.95
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,Machakos,1,rural,100.0,high,8,413.4,185,0,0,5,1,4,dissatisfied,1,basic,68.69654658406243,61.1024,1,0,45.0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,Machakos,1,rural,17.400000000000002,low,0,582.5,2,1,0,2,0,4,dissatisfied,1,standard,96.93264720205461,11.993333333333334,1,0,40.22
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,Kakamega,1,rural,100.0,high,10,3639.8,315,0,1,2,0,7,neutral,1,premium,69.79223504885051,69.70613333333333,0,0,70.0
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,Mombasa,0,urban,32.400000000000006,medium,3,764.4,314,0,1,5,1,8,satisfied,0,premium,4.180377574918244,21.4784,0,0,34.72
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,Nairobi,0,urban,77.0,high,5,2409.6,32,1,1,4,1,4,dissatisfied,1,premium,100.0,52.6256,0,1,83.1
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Thika,0,urban,35.2,medium,2,1845.7,181,0,1,4,1,6,neutral,1,unlimited,21.575474728166828,26.041866666666667,0,1,50.56
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Kisumu,0,urban,100.0,high,13,585.7,38,1,1,3,0,5,neutral,1,premium,2.9755406117746697,61.56186666666667,0,0,90.0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,Nairobi,0,urban,76.0,high,9,556.1,152,0,0,5,1,7,satisfied,1,standard,8.655668145051285,47.08293333333334,0,0,37.8
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,Kisumu,0,urban,68.0,high,5,3609.4,62,1,0,5,1,5,neutral,1,premium,32.36328643654133,50.425066666666666,0,0,55.4
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,Nairobi,0,urban,9.5,low,3,481.5,198,0,0,2,0,5,dissatisfied,1,basic,13.226979959657557,6.984,0,0,17.85
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,Nyeri,0,urban,57.5,medium,4,3097.7,102,0,0,3,0,8,satisfied,0,premium,4.683478022702367,42.760533333333335,0,0,17.25
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,Mombasa,0,urban,100.0,high,11,1095.4,340,0,0,5,1,9,satisfied,1,premium,11.73854096790339,62.92106666666667,0,1,45.0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,Uasin Gishu,0,urban,100.0,high,12,3114.0,186,0,1,5,1,6,neutral,1,premium,14.3404221116574,68.304,0,1,70.0
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,Mombasa,0,urban,87.0,high,8,0.0,345,0,0,5,1,6,neutral,1,standard,12.193268256266588,52.199999999999996,0,0,41.099999999999994
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,Nakuru,0,urban,93.3,high,7,293.3,301,0,1,5,1,8,satisfied,1,premium,7.506132979137727,56.76213333333333,0,1,67.99
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,Nakuru,0,urban,100.0,high,5,2772.5,221,0,0,3,0,6,neutral,0,premium,5.679397048967377,67.39333333333333,0,0,30.0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,Nairobi,0,urban,56.5,medium,10,3668.3,358,0,0,5,1,6,neutral,0,premium,9.926892201129482,43.68213333333333,0,0,16.95
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,Machakos,1,rural,100.0,high,13,2385.5,187,0,1,4,1,2,dissatisfied,0,premium,17.380823989436852,66.36133333333333,1,1,55.0
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Malindi,1,rural,20.5,low,3,1153.2,252,0,0,2,0,3,dissatisfied,1,premium,37.39580667489092,15.3752,1,0,21.15
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,Nyeri,0,urban,74.5,high,10,1471.0,364,0,0,5,1,7,neutral,1,premium,100.0,48.62266666666666,0,0,37.349999999999994
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Nyeri,0,urban,96.0,high,9,608.3,191,0,1,4,1,5,neutral,1,premium,28.48608960835086,59.222133333333325,0,1,68.8
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,Nakuru,0,urban,94.0,high,13,3206.7,243,0,0,5,1,10,satisfied,0,premium,18.25753354124474,64.9512,0,1,28.2
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Nyeri,0,urban,96.10000000000001,high,12,1535.9,70,1,1,3,0,7,satisfied,1,premium,13.073023018205639,61.75573333333334,0,0,88.83
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,Nairobi,0,urban,93.5,high,19,3595.3,346,0,1,5,1,7,satisfied,1,premium,12.061232597675433,65.68746666666667,0,1,68.05
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,Nairobi,0,urban,100.0,high,8,3239.9,76,1,1,5,1,5,dissatisfied,1,unlimited,8.07809896539735,68.63973333333334,0,1,90.0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,Nairobi,0,urban,100.0,high,6,1827.9,220,0,0,5,1,5,dissatisfied,0,basic,19.750268561608785,64.8744,0,0,30.0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,Mombasa,0,urban,100.0,high,9,4085.0,342,0,1,2,0,5,dissatisfied,1,unlimited,1.2079418325848188,70.89333333333333,0,0,70.0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,Mombasa,0,urban,100.0,high,11,2548.0,263,0,0,5,1,5,neutral,1,unlimited,32.305456899826076,66.79466666666667,0,1,45.0
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,Mombasa,0,urban,100.0,high,9,3309.8,268,0,1,3,0,7,satisfied,1,premium,8.029939545178632,68.82613333333333,0,0,70.0
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,Kakamega,1,rural,100.0,high,13,4112.2,281,0,0,4,1,2,dissatisfied,0,standard,4.151191332958352,70.96586666666667,1,0,30.0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,Mombasa,0,urban,40.0,medium,7,1064.8,220,0,0,4,1,9,satisfied,1,standard,7.62441253642089,26.839466666666667,0,0,27.0
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,Mombasa,0,urban,100.0,high,7,162.79999999999995,340,0,0,5,1,6,neutral,1,premium,5.009405364520103,60.434133333333335,0,1,45.0
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,Nakuru,0,urban,17.1,low,4,476.6,283,0,1,3,0,10,satisfied,1,premium,100.0,11.530933333333333,0,0,45.129999999999995
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,Nairobi,0,urban,100.0,high,6,2170.8,105,0,1,3,0,4,dissatisfied,0,premium,7.4830860535466535,65.7888,0,0,55.0
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,Kakamega,1,rural,33.5,medium,1,1498.4,286,0,0,5,1,6,neutral,1,premium,15.444366567445202,24.09573333333333,0,1,25.049999999999997
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,Nairobi,0,urban,54.900000000000006,medium,5,2826.3,272,0,0,3,0,9,satisfied,0,basic,4.531755988140783,40.476800000000004,0,0,16.470000000000002
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,Machakos,1,rural,92.0,high,17,203.70000000000005,269,0,0,4,1,2,dissatisfied,1,premium,37.55806181512433,55.743199999999995,1,1,42.599999999999994
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,Malindi,1,rural,10.5,low,0,15.099999999999994,360,0,0,5,1,3,dissatisfied,1,standard,2.842743859105429,6.3402666666666665,1,0,18.15
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,Nairobi,0,urban,100.0,high,13,2350.8,306,0,0,2,0,8,satisfied,0,basic,40.19266397962418,66.2688,0,0,30.0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,Nairobi,0,urban,100.0,high,6,3659.2,113,0,1,3,0,8,satisfied,0,unlimited,18.27631523992288,69.75786666666667,0,0,55.0
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,Kakamega,1,rural,49.2,medium,2,2793.5,57,1,0,1,0,5,dissatisfied,0,basic,18.269690367470083,36.96933333333333,1,0,34.76
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,Thika,0,urban,13.200000000000001,low,1,701.0,43,1,0,5,1,7,neutral,1,premium,24.0783893405077,9.789333333333333,0,0,38.96
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,Thika,0,urban,80.0,high,7,2870.0,353,0,1,2,0,7,satisfied,1,unlimited,8.826747870339641,55.653333333333336,0,0,64.0
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,Malindi,1,rural,49.0,medium,5,2709.3,230,0,0,5,1,5,neutral,1,standard,27.684499147410385,36.6248,1,0,29.7
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,Nairobi,0,urban,63.0,high,9,943.3,266,0,0,5,1,5,neutral,1,standard,8.404269575089504,40.315466666666666,0,0,33.9
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,Mombasa,0,urban,100.0,high,13,1983.5,11,1,0,3,0,6,neutral,0,premium,5.82058651174716,65.28933333333333,0,0,50.0
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,Nairobi,0,urban,73.5,high,7,2206.8,204,0,0,5,1,10,satisfied,0,basic,4.184306013762041,49.9848,0,0,22.05
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,Kakamega,1,rural,35.6,medium,0,655.7,53,1,0,3,0,2,dissatisfied,1,premium,42.742731449093,23.108533333333334,1,0,45.68
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,Uasin Gishu,0,urban,88.7,high,8,160.10000000000002,337,0,0,3,0,5,neutral,1,standard,48.99494253597609,53.64693333333333,0,0,41.61
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,Mombasa,0,urban,24.3,low,0,884.3,247,0,1,3,0,7,satisfied,1,premium,100.0,16.938133333333333,0,0,47.29
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,Nairobi,0,urban,100.0,high,10,2326.6,135,0,1,4,1,8,satisfied,1,unlimited,8.904247330553213,66.20426666666667,0,1,70.0
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,Mombasa,0,urban,80.4,high,6,2023.3000000000002,229,0,0,2,0,10,satisfied,0,basic,7.1364561955024755,53.63546666666667,0,0,24.12
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,Mombasa,0,urban,13.5,low,1,381.6,305,0,1,5,1,6,neutral,1,premium,6.221381957037968,9.1176,0,1,44.05
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,Thika,0,urban,98.10000000000001,high,14,1554.3,277,0,0,5,1,5,neutral,1,premium,1.9245188485935678,63.0048,0,0,44.43
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,Uasin Gishu,0,urban,100.0,high,12,2854.3,260,0,0,4,1,8,satisfied,0,basic,18.37437046163057,67.61146666666667,0,0,30.0
